"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Покупка тура по карте","","Валидация владельца карты","5","0","1","0","0"
"Тестирование API симулятора банковских сервисов","","DECLINED-карта","0","0","4","0","0"
"Покупка тура по карте","","Валидация года","0","0","3","0","0"
"Покупка тура по карте","","Валидация месяца","1","0","3","0","0"
"Покупка тура в кредит","","Основные сценарии","1","0","1","0","0"
"Покупка тура в кредит","","Валидация CVC","0","0","2","0","0"
"Покупка тура в кредит","","Валидация года","0","0","3","0","0"
"Покупка тура в кредит","","Валидация владельца карты","5","0","1","0","0"
"Тестирование API симулятора банковских сервисов","","APPROVED-карта","0","0","4","0","0"
"Покупка тура по карте","","Основные сценарии","1","0","1","0","0"
"Тестирование API симулятора банковских сервисов","","Невалидная карта","0","0","1","0","0"
"Покупка тура в кредит","","Валидация месяца","1","0","3","0","0"
"Покупка тура по карте","","Валидация номера карты","0","0","3","0","0"
"Покупка тура по карте","","Валидация CVC","0","0","2","0","0"
"Покупка тура в кредит","","Валидация номера карты","0","0","3","0","0"
