"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Покупка тура по карте","0","","3","0","Валидация номера карты","0"
"0","Тестирование API симулятора банковских сервисов","0","","4","0","DECLINED-карта","0"
"0","Покупка тура в кредит","5","","1","0","Валидация владельца карты","0"
"0","Покупка тура в кредит","0","","3","0","Валидация номера карты","0"
"0","Покупка тура в кредит","0","","3","0","Валидация года","0"
"0","Покупка тура по карте","5","","1","0","Валидация владельца карты","0"
"0","Покупка тура по карте","1","","3","0","Валидация месяца","0"
"0","Покупка тура в кредит","0","","2","0","Валидация CVC","0"
"0","Покупка тура в кредит","1","","3","0","Валидация месяца","0"
"0","Покупка тура по карте","0","","2","0","Валидация CVC","0"
"0","Покупка тура по карте","0","","3","0","Валидация года","0"
"0","Покупка тура по карте","1","","1","0","Основные сценарии","0"
"0","Тестирование API симулятора банковских сервисов","0","","4","0","APPROVED-карта","0"
"0","Тестирование API симулятора банковских сервисов","0","","1","0","Невалидная карта","0"
"0","Покупка тура в кредит","1","","1","0","Основные сценарии","0"
